id,type,text1,text2,text3,notes
stardust_felrepeater,WEAPON,"A flux efficient Free-Electron Laser weapon that fires in short bursts. While fairly low powered, the stream of electrons fired by this weapon can still cause considerable damage as well as having an EMP effect on the target. 
The Free-Electron Laser family of weapons uses a stream of electrons accelerated to near the speed of light to damage the target. Easily modified to match a range of wavelengths, the technology is versitile and comes in several varieties. ",,,
stardust_felpulser,WEAPON,"A larger and more powerful Free-Electron Laser weapon that fires in short bursts. The stream of electrons fired by this weapon can cause considerable damage as well as having an EMP effect on the target. 
The Free-Electron Laser family of weapons uses a stream of electrons accelerated to near the speed of light to damage the target. Easily modified to match a range of wavelengths, the technology is versitile and comes in several varieties. ",,,
stardust_felcannon,WEAPON,"The largest and most powerful Free-Electron Laser weapon, the cannon does the most damage but at a considerable flux cost. The stream of electrons fired by this weapon can cause considerable damage as well as having an EMP effect on the target. 
The Free-Electron Laser family of weapons uses a stream of electrons accelerated to near the speed of light to damage the target. Easily modified to match a range of wavelengths, the technology is versitile and comes in several varieties. ",,,
stardust_cloudburst,WEAPON,"Fires a 2nd-stage spread of warheads that burst into a cloud of charged energy when in range. Designed for multi-purpose Area of Effect, the Cloudburst missiles can wipe out groups of missiles and fighters. Less effective against ships, but the EMP damage done on impacting enemy hull or armor can cripple a vulnerable vessel.

This version is a rack that holds 3 missiles. ",,,
stardust_cloudburst_pod,WEAPON,"Fires a 2nd-stage spread of warheads that burst into a cloud of charged energy when in range. Designed for multi-purpose Area of Effect, the Cloudburst missiles can wipe out groups of missiles and fighters. Less effective against ships, but the EMP damage done on impacting enemy hull or armor can cripple a vulnerable vessel.

This version is a twin-firing pod that rearms after firing and draws new missiles from an internal stockpile.",,,
stardust_cloudburst_single,WEAPON,"Fires a 2nd-stage spread of warheads that burst into a cloud of charged energy when in range. Designed for multi-purpose Area of Effect, the Cloudburst missiles can wipe out groups of missiles and fighters. Less effective against ships, but the EMP damage done on impacting enemy hull or armor can cripple a vulnerable vessel.

This version is a rack that holds 2 missiles. ",,,
stardust_cloudburst_fighter,WEAPON,"Fires a 2nd-stage spread of warheads that burst into a cloud of charged energy when in range. Designed for multi-purpose Area of Effect, the Cloudburst missiles can wipe out groups of missiles and fighters. Less effective against ships, but the EMP damage done on impacting enemy hull or armor can cripple a vulnerable vessel.

This version is a rack that holds a single missile and is designed for use on fighters. ",,,
stardust_stormfront,WEAPON,"Robust launching system that fires Cloudburst missiles, which split into a 2nd-stage spread of warheads that burst into a cloud of charged energy when in range. Designed for multi-purpose Area of Effect, the Cloudburst missiles can wipe out groups of missiles and fighters. Less effective against ships, but the EMP damage done on impacting enemy hull or armor can cripple a vulnerable vessel.

The Stormfront is a twin-firing module that includes a built-in manufactury to allow new cloudburst missiles to be created during the course of the battle.",,,
stardust_lithobreaker,WEAPON,"A rack of advanced guided torpedoes that release a solid metal core at high speeds when close enough to the target. Originally designed to shatter asteroids for easier mining, the technology quickly found use in military applications as the kinetic strike quickly takes down shields. ",,,
stardust_lithobreaker_single,WEAPON,"A rack of advanced guided torpedoes that release a solid metal core at high speeds when close enough to the target. Originally designed to shatter asteroids for easier mining, the technology quickly found use in military applications as the kinetic strike quickly takes down shields. ",,,
stardust_lithobreaker_pod,WEAPON,"A rack of advanced guided torpedoes that release a solid metal core at high speeds when close enough to the target. Originally designed to shatter asteroids for easier mining, the technology quickly found use in military applications as the kinetic strike quickly takes down shields. ",,,
stardust_lithobreaker_barrage,WEAPON,"A rack of advanced guided torpedoes that release a solid metal core at high speeds when close enough to the target. Originally designed to shatter asteroids for easier mining, the technology quickly found use in military applications as the kinetic strike quickly takes down shields. ",,,
